"","ID","Trial","Timestamp","Datastring","condition","counterbalance","debugID","phase","word","submit_time","key_onsets","key_ids","start_cue","word_count","key_codes","start_time","experiment"
"1","1000","14",1600089420788,"{""word"": ""head"", ""word_submit_time"": 2877, ""key_onsets"": [1916, 2007, 2129, 2384], ""key_ids"": [""H"", ""E"", ""A"", ""D""], ""start_cue"": ""BODY"", ""word_count"": 1, ""key_codes"": [72, 69, 65, 68], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","head",2877,"[1916,2007,2129,2384]","[""H"",""E"",""A"",""D""]","BODY",1,"[72,69,65,68]",1600089417911,"carver_orig"
"2","1000","15",1600089425067,"{""word"": ""shoulders"", ""word_submit_time"": 7156, ""key_onsets"": [4354, 4699, 5055, 5258, 5533, 6006, 6165, 6313, 6501], ""key_ids"": [""S"", ""H"", ""O"", ""U"", ""L"", ""D"", ""E"", ""R"", ""S""], ""start_cue"": ""BODY"", ""word_count"": 2, ""key_codes"": [83, 72, 79, 85, 76, 68, 69, 82, 83], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","shoulders",7156,"[4354,4699,5055,5258,5533,6006,6165,6313,6501]","[""S"",""H"",""O"",""U"",""L"",""D"",""E"",""R"",""S""]","BODY",2,"[83,72,79,85,76,68,69,82,83]",1600089417911,"carver_orig"
"3","1000","16",1600089428747,"{""word"": ""shampoo"", ""word_submit_time"": 10836, ""key_onsets"": [8646, 8924, 9039, 9221, 9634, 9972, 10101], ""key_ids"": [""S"", ""H"", ""A"", ""M"", ""P"", ""O"", ""O""], ""start_cue"": ""BODY"", ""word_count"": 3, ""key_codes"": [83, 72, 65, 77, 80, 79, 79], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","shampoo",10836,"[8646,8924,9039,9221,9634,9972,10101]","[""S"",""H"",""A"",""M"",""P"",""O"",""O""]","BODY",3,"[83,72,65,77,80,79,79]",1600089417911,"carver_orig"
"4","1000","17",1600089432876,"{""word"": ""hair"", ""word_submit_time"": 14965, ""key_onsets"": [13694, 13813, 14359, 14656], ""key_ids"": [""H"", ""A"", ""I"", ""R""], ""start_cue"": ""BODY"", ""word_count"": 4, ""key_codes"": [72, 65, 73, 82], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","hair",14965,"[13694,13813,14359,14656]","[""H"",""A"",""I"",""R""]","BODY",4,"[72,65,73,82]",1600089417911,"carver_orig"
"5","1000","18",1600089436900,"{""word"": ""brush"", ""word_submit_time"": 18989, ""key_onsets"": [17463, 17767, 17962, 18144, 18430], ""key_ids"": [""B"", ""R"", ""U"", ""S"", ""H""], ""start_cue"": ""BODY"", ""word_count"": 5, ""key_codes"": [66, 82, 85, 83, 72], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","brush",18989,"[17463,17767,17962,18144,18430]","[""B"",""R"",""U"",""S"",""H""]","BODY",5,"[66,82,85,83,72]",1600089417911,"carver_orig"
"6","1000","19",1600089439474,"{""word"": ""horse"", ""word_submit_time"": 21563, ""key_onsets"": [19989, 20335, 20529, 20769, 20950], ""key_ids"": [""H"", ""O"", ""R"", ""S"", ""E""], ""start_cue"": ""BODY"", ""word_count"": 6, ""key_codes"": [72, 79, 82, 83, 69], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","horse",21563,"[19989,20335,20529,20769,20950]","[""H"",""O"",""R"",""S"",""E""]","BODY",6,"[72,79,82,83,69]",1600089417911,"carver_orig"
"7","1000","20",1600089442927,"{""word"": ""saddle"", ""word_submit_time"": 25016, ""key_onsets"": [23095, 23453, 23827, 23946, 24144, 24248], ""key_ids"": [""S"", ""A"", ""D"", ""D"", ""L"", ""E""], ""start_cue"": ""BODY"", ""word_count"": 7, ""key_codes"": [83, 65, 68, 68, 76, 69], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","saddle",25016,"[23095,23453,23827,23946,24144,24248]","[""S"",""A"",""D"",""D"",""L"",""E""]","BODY",7,"[83,65,68,68,76,69]",1600089417911,"carver_orig"
"8","1000","21",1600089447501,"{""word"": ""minecraft"", ""word_submit_time"": 29590, ""key_onsets"": [26789, 27056, 27340, 27520, 28159, 28383, 28521, 28786, 29201], ""key_ids"": [""M"", ""I"", ""N"", ""E"", ""C"", ""R"", ""A"", ""F"", ""T""], ""start_cue"": ""BODY"", ""word_count"": 8, ""key_codes"": [77, 73, 78, 69, 67, 82, 65, 70, 84], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","minecraft",29590,"[26789,27056,27340,27520,28159,28383,28521,28786,29201]","[""M"",""I"",""N"",""E"",""C"",""R"",""A"",""F"",""T""]","BODY",8,"[77,73,78,69,67,82,65,70,84]",1600089417911,"carver_orig"
"9","1000","22",1600089450195,"{""word"": ""block"", ""word_submit_time"": 32284, ""key_onsets"": [30832, 31023, 31161, 31392, 31704], ""key_ids"": [""B"", ""L"", ""O"", ""C"", ""K""], ""start_cue"": ""BODY"", ""word_count"": 9, ""key_codes"": [66, 76, 79, 67, 75], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","block",32284,"[30832,31023,31161,31392,31704]","[""B"",""L"",""O"",""C"",""K""]","BODY",9,"[66,76,79,67,75]",1600089417911,"carver_orig"
"10","1000","23",1600089453106,"{""word"": ""road"", ""word_submit_time"": 35195, ""key_onsets"": [34002, 34160, 34434, 34714], ""key_ids"": [""R"", ""O"", ""A"", ""D""], ""start_cue"": ""BODY"", ""word_count"": 10, ""key_codes"": [82, 79, 65, 68], ""fa_start_time"": 1600089417911, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",1,"debug2zFyK:debug7vXb8","FA1","road",35195,"[34002,34160,34434,34714]","[""R"",""O"",""A"",""D""]","BODY",10,"[82,79,65,68]",1600089417911,"carver_orig"
