"","ID","Trial","Timestamp","Datastring","condition","counterbalance","debugID","phase","word","submit_time","key_onsets","key_ids","start_cue","word_count","key_codes","start_time","experiment"
"5571","2000","330",1600096466445,"{""word"": ""murder"", ""word_submit_time"": 2662, ""key_onsets"": [1506, 1650, 1758, 1966, 2051, 2167], ""key_ids"": [""M"", ""U"", ""R"", ""D"", ""E"", ""R""], ""start_cue"": ""BODY"", ""word_count"": 1, ""key_codes"": [77, 85, 82, 68, 69, 82], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","murder",2662,"[1506,1650,1758,1966,2051,2167]","[""M"",""U"",""R"",""D"",""E"",""R""]","BODY",1,"[77,85,82,68,69,82]",1600096463783,"carver_orig"
"5572","2000","331",1600096468919,"{""word"": ""woods"", ""word_submit_time"": 5136, ""key_onsets"": [4134, 4346, 4518, 4635, 4718], ""key_ids"": [""W"", ""O"", ""O"", ""D"", ""S""], ""start_cue"": ""BODY"", ""word_count"": 2, ""key_codes"": [87, 79, 79, 68, 83], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","woods",5136,"[4134,4346,4518,4635,4718]","[""W"",""O"",""O"",""D"",""S""]","BODY",2,"[87,79,79,68,83]",1600096463783,"carver_orig"
"5573","2000","332",1600096477737,"{""word"": ""tracks"", ""word_submit_time"": 13954, ""key_onsets"": [7410, 7586, 7838, 7851, 8196, 8424, 8728, 8894, 9543, 9694, 9799, 9887, 10023, 10125, 10257, 10322, 11277, 11333, 11842, 12049, 12180, 12900, 13414, 13592], ""key_ids"": [""R"", ""I"", ""C"", ""V"", ""\b"", ""\b"", ""\b"", ""\b"", ""M"", ""O"", ""U"", ""N"", ""T"", ""A"", ""I"", ""N"", ""\u0011"", ""\b"", ""T"", ""R"", ""A"", ""C"", ""K"", ""S""], ""start_cue"": ""BODY"", ""word_count"": 3, ""key_codes"": [82, 73, 67, 86, 8, 8, 8, 8, 77, 79, 85, 78, 84, 65, 73, 78, 17, 8, 84, 82, 65, 67, 75, 83], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","tracks",13954,"[7410,7586,7838,7851,8196,8424,8728,8894,9543,9694,9799,9887,10023,10125,10257,10322,11277,11333,11842,12049,12180,12900,13414,13592]","[""R"",""I"",""C"",""V"",""\b"",""\b"",""\b"",""\b"",""M"",""O"",""U"",""N"",""T"",""A"",""I"",""N"",""\u0011"",""\b"",""T"",""R"",""A"",""C"",""K"",""S""]","BODY",3,"[82,73,67,86,8,8,8,8,77,79,85,78,84,65,73,78,17,8,84,82,65,67,75,83]",1600096463783,"carver_orig"
"5574","2000","333",1600096483531,"{""word"": ""animal"", ""word_submit_time"": 19748, ""key_onsets"": [18536, 18822, 18853, 19094, 19246, 19360], ""key_ids"": [""A"", ""N"", ""I"", ""M"", ""A"", ""L""], ""start_cue"": ""BODY"", ""word_count"": 4, ""key_codes"": [65, 78, 73, 77, 65, 76], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","animal",19748,"[18536,18822,18853,19094,19246,19360]","[""A"",""N"",""I"",""M"",""A"",""L""]","BODY",4,"[65,78,73,77,65,76]",1600096463783,"carver_orig"
"5575","2000","334",1600096490997,"{""word"": ""pets"", ""word_submit_time"": 27214, ""key_onsets"": [26550, 26772, 26914, 27070], ""key_ids"": [""P"", ""E"", ""T"", ""S""], ""start_cue"": ""BODY"", ""word_count"": 5, ""key_codes"": [80, 69, 84, 83], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","pets",27214,"[26550,26772,26914,27070]","[""P"",""E"",""T"",""S""]","BODY",5,"[80,69,84,83]",1600096463783,"carver_orig"
"5576","2000","335",1600096494553,"{""word"": ""dog"", ""word_submit_time"": 30770, ""key_onsets"": [29790, 30096, 30255], ""key_ids"": [""D"", ""O"", ""G""], ""start_cue"": ""BODY"", ""word_count"": 6, ""key_codes"": [68, 79, 71], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","dog",30770,"[29790,30096,30255]","[""D"",""O"",""G""]","BODY",6,"[68,79,71]",1600096463783,"carver_orig"
"5577","2000","336",1600096497934,"{""word"": ""walks"", ""word_submit_time"": 34151, ""key_onsets"": [33284, 33449, 33604, 33804, 33933], ""key_ids"": [""W"", ""A"", ""L"", ""K"", ""S""], ""start_cue"": ""BODY"", ""word_count"": 7, ""key_codes"": [87, 65, 76, 75, 83], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","walks",34151,"[33284,33449,33604,33804,33933]","[""W"",""A"",""L"",""K"",""S""]","BODY",7,"[87,65,76,75,83]",1600096463783,"carver_orig"
"5578","2000","337",1600096500627,"{""word"": ""forest"", ""word_submit_time"": 36844, ""key_onsets"": [35798, 35927, 36079, 36153, 36368, 36555], ""key_ids"": [""F"", ""O"", ""R"", ""E"", ""S"", ""T""], ""start_cue"": ""BODY"", ""word_count"": 8, ""key_codes"": [70, 79, 82, 69, 83, 84], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","forest",36844,"[35798,35927,36079,36153,36368,36555]","[""F"",""O"",""R"",""E"",""S"",""T""]","BODY",8,"[70,79,82,69,83,84]",1600096463783,"carver_orig"
"5579","2000","338",1600096506320,"{""word"": ""stream"", ""word_submit_time"": 42537, ""key_onsets"": [40418, 40644, 40840, 40916, 40983, 41144], ""key_ids"": [""S"", ""T"", ""R"", ""E"", ""A"", ""M""], ""start_cue"": ""BODY"", ""word_count"": 9, ""key_codes"": [83, 84, 82, 69, 65, 77], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","stream",42537,"[40418,40644,40840,40916,40983,41144]","[""S"",""T"",""R"",""E"",""A"",""M""]","BODY",9,"[83,84,82,69,65,77]",1600096463783,"carver_orig"
"5580","2000","339",1600096510938,"{""word"": ""river"", ""word_submit_time"": 47155, ""key_onsets"": [46411, 46607, 46673, 46890, 46959], ""key_ids"": [""R"", ""I"", ""V"", ""E"", ""R""], ""start_cue"": ""BODY"", ""word_count"": 10, ""key_codes"": [82, 73, 86, 69, 82], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","river",47155,"[46411,46607,46673,46890,46959]","[""R"",""I"",""V"",""E"",""R""]","BODY",10,"[82,73,86,69,82]",1600096463783,"carver_orig"
"5581","2000","340",1600096513438,"{""word"": ""rapids"", ""word_submit_time"": 49655, ""key_onsets"": [48748, 48843, 48995, 49232, 49342, 49518], ""key_ids"": [""R"", ""A"", ""P"", ""I"", ""D"", ""S""], ""start_cue"": ""BODY"", ""word_count"": 11, ""key_codes"": [82, 65, 80, 73, 68, 83], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","rapids",49655,"[48748,48843,48995,49232,49342,49518]","[""R"",""A"",""P"",""I"",""D"",""S""]","BODY",11,"[82,65,80,73,68,83]",1600096463783,"carver_orig"
"5582","2000","341",1600096523889,"{""word"": ""extreme"", ""word_submit_time"": 60106, ""key_onsets"": [51932, 52073, 52368, 52632, 53316, 53511, 54928, 55104, 55858, 55984, 56127, 56342, 57982, 58219, 58619, 58857, 59133, 59353, 59438, 59711, 59880], ""key_ids"": [""D"", ""I"", ""G"", ""Y"", ""\b"", ""\b"", ""\b"", ""\b"", ""B"", ""O"", ""A"", ""T"", ""\u0011"", ""\b"", ""E"", ""X"", ""T"", ""R"", ""E"", ""M"", ""E""], ""start_cue"": ""BODY"", ""word_count"": 12, ""key_codes"": [68, 73, 71, 89, 8, 8, 8, 8, 66, 79, 65, 84, 17, 8, 69, 88, 84, 82, 69, 77, 69], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","extreme",60106,"[51932,52073,52368,52632,53316,53511,54928,55104,55858,55984,56127,56342,57982,58219,58619,58857,59133,59353,59438,59711,59880]","[""D"",""I"",""G"",""Y"",""\b"",""\b"",""\b"",""\b"",""B"",""O"",""A"",""T"",""\u0011"",""\b"",""E"",""X"",""T"",""R"",""E"",""M"",""E""]","BODY",12,"[68,73,71,89,8,8,8,8,66,79,65,84,17,8,69,88,84,82,69,77,69]",1600096463783,"carver_orig"
"5583","2000","342",1600096531160,"{""word"": ""sports"", ""word_submit_time"": 67377, ""key_onsets"": [65662, 65764, 65859, 66015, 66203, 66337, 66472, 66855], ""key_ids"": [""S"", ""P"", ""O"", ""R"", ""T"", ""S"", ""S"", ""\b""], ""start_cue"": ""BODY"", ""word_count"": 13, ""key_codes"": [83, 80, 79, 82, 84, 83, 83, 8], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","sports",67377,"[65662,65764,65859,66015,66203,66337,66472,66855]","[""S"",""P"",""O"",""R"",""T"",""S"",""S"",""\b""]","BODY",13,"[83,80,79,82,84,83,83,8]",1600096463783,"carver_orig"
"5584","2000","343",1600096542063,"{""word"": ""outdoors"", ""word_submit_time"": 78280, ""key_onsets"": [71818, 72117, 72274, 72567, 72652, 74413, 75638, 75976, 76782, 76878, 76963, 77412, 77542, 77726, 77883, 78093], ""key_ids"": [""R"", ""U"", ""G"", ""B"", ""Y"", ""\u0011"", ""\u0011"", ""\b"", ""O"", ""U"", ""T"", ""D"", ""O"", ""O"", ""R"", ""S""], ""start_cue"": ""BODY"", ""word_count"": 14, ""key_codes"": [82, 85, 71, 66, 89, 17, 17, 8, 79, 85, 84, 68, 79, 79, 82, 83], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","outdoors",78280,"[71818,72117,72274,72567,72652,74413,75638,75976,76782,76878,76963,77412,77542,77726,77883,78093]","[""R"",""U"",""G"",""B"",""Y"",""\u0011"",""\u0011"",""\b"",""O"",""U"",""T"",""D"",""O"",""O"",""R"",""S""]","BODY",14,"[82,85,71,66,89,17,17,8,79,85,84,68,79,79,82,83]",1600096463783,"carver_orig"
"5585","2000","344",1600096550120,"{""word"": ""hiking"", ""word_submit_time"": 86337, ""key_onsets"": [83547, 83662, 83674, 83907, 84084, 84193, 84642, 84802, 84965, 85118, 85780, 85973, 86062, 86178], ""key_ids"": [""H"", ""I"", ""U"", ""K"", ""I"", ""N"", ""\b"", ""\b"", ""\b"", ""\b"", ""K"", ""I"", ""N"", ""G""], ""start_cue"": ""BODY"", ""word_count"": 15, ""key_codes"": [72, 73, 85, 75, 73, 78, 8, 8, 8, 8, 75, 73, 78, 71], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","hiking",86337,"[83547,83662,83674,83907,84084,84193,84642,84802,84965,85118,85780,85973,86062,86178]","[""H"",""I"",""U"",""K"",""I"",""N"",""\b"",""\b"",""\b"",""\b"",""K"",""I"",""N"",""G""]","BODY",15,"[72,73,85,75,73,78,8,8,8,8,75,73,78,71]",1600096463783,"carver_orig"
"5586","2000","345",1600096552333,"{""word"": ""camping"", ""word_submit_time"": 88550, ""key_onsets"": [87096, 87278, 87441, 87576, 88054, 88214, 88308], ""key_ids"": [""C"", ""A"", ""M"", ""P"", ""I"", ""N"", ""G""], ""start_cue"": ""BODY"", ""word_count"": 16, ""key_codes"": [67, 65, 77, 80, 73, 78, 71], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","camping",88550,"[87096,87278,87441,87576,88054,88214,88308]","[""C"",""A"",""M"",""P"",""I"",""N"",""G""]","BODY",16,"[67,65,77,80,73,78,71]",1600096463783,"carver_orig"
"5587","2000","346",1600096556158,"{""word"": ""fire"", ""word_submit_time"": 92374, ""key_onsets"": [91570, 91722, 91823, 91888], ""key_ids"": [""F"", ""I"", ""R"", ""E""], ""start_cue"": ""BODY"", ""word_count"": 17, ""key_codes"": [70, 73, 82, 69], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","fire",92374,"[91570,91722,91823,91888]","[""F"",""I"",""R"",""E""]","BODY",17,"[70,73,82,69]",1600096463783,"carver_orig"
"5588","2000","347",1600096562519,"{""word"": ""cooking"", ""word_submit_time"": 98736, ""key_onsets"": [96796, 96981, 97208, 97701, 97929, 98032, 98139], ""key_ids"": [""C"", ""O"", ""O"", ""K"", ""I"", ""N"", ""G""], ""start_cue"": ""BODY"", ""word_count"": 18, ""key_codes"": [67, 79, 79, 75, 73, 78, 71], ""fa_start_time"": 1600096463783, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"debug3nB41:debug7lxY3","FA2","cooking",98736,"[96796,96981,97208,97701,97929,98032,98139]","[""C"",""O"",""O"",""K"",""I"",""N"",""G""]","BODY",18,"[67,79,79,75,73,78,71]",1600096463783,"carver_orig"
