"","ID","Trial","Timestamp","Datastring","condition","counterbalance","phase","word","submit_time","key_onsets","key_ids","start_cue","word_count","key_codes","start_time","experiment"
"1","1000","362",1.55285e+12,"{""word"": ""PEOPLE"", ""word_submit_time"": 6622, ""key_onsets"": [4225, 4774, 4973, 5767, 5923, 6084, 6200, 6372, 6456], ""key_ids"": [""C"", ""\b"", ""\b"", ""P"", ""E"", ""O"", ""P"", ""L"", ""E""], ""start_cue"": ""SECRET"", ""word_count"": 1, ""key_codes"": [67, 8, 8, 80, 69, 79, 80, 76, 69], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","people",6622,"[4225,4774,4973,5767,5923,6084,6200,6372,6456]","[""C"",""\b"",""\b"",""P"",""E"",""O"",""P"",""L"",""E""]","SECRET",1,"[67,8,8,80,69,79,80,76,69]",1552853836403,"july_orig"
"2","1000","363",1.55285e+12,"{""word"": ""PERSON"", ""word_submit_time"": 10573, ""key_onsets"": [9706, 9816, 9901, 10126, 10170, 10344], ""key_ids"": [""P"", ""E"", ""R"", ""S"", ""O"", ""N""], ""start_cue"": ""SECRET"", ""word_count"": 2, ""key_codes"": [80, 69, 82, 83, 79, 78], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","person",10573,"[9706,9816,9901,10126,10170,10344]","[""P"",""E"",""R"",""S"",""O"",""N""]","SECRET",2,"[80,69,82,83,79,78]",1552853836403,"july_orig"
"3","1000","364",1.55285e+12,"{""word"": ""STAR"", ""word_submit_time"": 15664, ""key_onsets"": [12398, 12592, 12744, 12891, 13243, 13390, 13532, 13649, 13779, 14089, 14215, 14343, 14444], ""key_ids"": [""M"", ""O"", ""V"", ""I"", ""\b"", ""\b"", ""\b"", ""\b"", ""\b"", ""S"", ""T"", ""A"", ""R""], ""start_cue"": ""SECRET"", ""word_count"": 3, ""key_codes"": [77, 79, 86, 73, 8, 8, 8, 8, 8, 83, 84, 65, 82], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","star",15664,"[12398,12592,12744,12891,13243,13390,13532,13649,13779,14089,14215,14343,14444]","[""M"",""O"",""V"",""I"",""\b"",""\b"",""\b"",""\b"",""\b"",""S"",""T"",""A"",""R""]","SECRET",3,"[77,79,86,73,8,8,8,8,8,83,84,65,82]",1552853836403,"july_orig"
"4","1000","365",1.55285e+12,"{""word"": ""MOVIE"", ""word_submit_time"": 17764, ""key_onsets"": [16836, 17019, 17173, 17284, 17451], ""key_ids"": [""M"", ""O"", ""V"", ""I"", ""E""], ""start_cue"": ""SECRET"", ""word_count"": 4, ""key_codes"": [77, 79, 86, 73, 69], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","movie",17764,"[16836,17019,17173,17284,17451]","[""M"",""O"",""V"",""I"",""E""]","SECRET",4,"[77,79,86,73,69]",1552853836403,"july_orig"
"5","1000","366",1.55285e+12,"{""word"": ""THEATRE"", ""word_submit_time"": 22167, ""key_onsets"": [20883, 20974, 21117, 21212, 21276, 21709, 21853], ""key_ids"": [""T"", ""H"", ""E"", ""A"", ""T"", ""R"", ""E""], ""start_cue"": ""SECRET"", ""word_count"": 5, ""key_codes"": [84, 72, 69, 65, 84, 82, 69], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","theatre",22167,"[20883,20974,21117,21212,21276,21709,21853]","[""T"",""H"",""E"",""A"",""T"",""R"",""E""]","SECRET",5,"[84,72,69,65,84,82,69]",1552853836403,"july_orig"
"6","1000","367",1.55285e+12,"{""word"": ""ACTING"", ""word_submit_time"": 23926, ""key_onsets"": [22707, 22971, 23263, 23349, 23545, 23703], ""key_ids"": [""A"", ""C"", ""T"", ""I"", ""N"", ""G""], ""start_cue"": ""SECRET"", ""word_count"": 6, ""key_codes"": [65, 67, 84, 73, 78, 71], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","acting",23926,"[22707,22971,23263,23349,23545,23703]","[""A"",""C"",""T"",""I"",""N"",""G""]","SECRET",6,"[65,67,84,73,78,71]",1552853836403,"july_orig"
"7","1000","368",1.55285e+12,"{""word"": ""SINGING"", ""word_submit_time"": 26503, ""key_onsets"": [25550, 25650, 25824, 25909, 26052, 26202, 26309], ""key_ids"": [""S"", ""I"", ""N"", ""G"", ""I"", ""N"", ""G""], ""start_cue"": ""SECRET"", ""word_count"": 7, ""key_codes"": [83, 73, 78, 71, 73, 78, 71], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","singing",26503,"[25550,25650,25824,25909,26052,26202,26309]","[""S"",""I"",""N"",""G"",""I"",""N"",""G""]","SECRET",7,"[83,73,78,71,73,78,71]",1552853836403,"july_orig"
"8","1000","369",1.55285e+12,"{""word"": ""TALENT"", ""word_submit_time"": 28406, ""key_onsets"": [27346, 27452, 27616, 27722, 27882, 28063], ""key_ids"": [""T"", ""A"", ""L"", ""E"", ""N"", ""T""], ""start_cue"": ""SECRET"", ""word_count"": 8, ""key_codes"": [84, 65, 76, 69, 78, 84], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","talent",28406,"[27346,27452,27616,27722,27882,28063]","[""T"",""A"",""L"",""E"",""N"",""T""]","SECRET",8,"[84,65,76,69,78,84]",1552853836403,"july_orig"
"9","1000","370",1.55285e+12,"{""word"": ""PIANO"", ""word_submit_time"": 35230, ""key_onsets"": [30962, 31616, 32887, 33053, 33123, 33332, 33707, 33836, 33989, 34193, 34503, 34657, 34864], ""key_ids"": [""P"", ""\b"", ""P"", ""A"", ""I"", ""N"", ""\b"", ""\b"", ""\b"", ""I"", ""A"", ""N"", ""O""], ""start_cue"": ""SECRET"", ""word_count"": 9, ""key_codes"": [80, 8, 80, 65, 73, 78, 8, 8, 8, 73, 65, 78, 79], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","piano",35230,"[30962,31616,32887,33053,33123,33332,33707,33836,33989,34193,34503,34657,34864]","[""P"",""\b"",""P"",""A"",""I"",""N"",""\b"",""\b"",""\b"",""I"",""A"",""N"",""O""]","SECRET",9,"[80,8,80,65,73,78,8,8,8,73,65,78,79]",1552853836403,"july_orig"
"10","1000","371",1.55285e+12,"{""word"": ""PLAYING"", ""word_submit_time"": 38034, ""key_onsets"": [36452, 36658, 36769, 37068, 37348, 37532, 37622], ""key_ids"": [""P"", ""L"", ""A"", ""Y"", ""I"", ""N"", ""G""], ""start_cue"": ""SECRET"", ""word_count"": 10, ""key_codes"": [80, 76, 65, 89, 73, 78, 71], ""fa_start_time"": 1552853836403, ""phase"": ""fa2"", ""condition"": ""intact""}","intact",1,"FA2","playing",38034,"[36452,36658,36769,37068,37348,37532,37622]","[""P"",""L"",""A"",""Y"",""I"",""N"",""G""]","SECRET",10,"[80,76,65,89,73,78,71]",1552853836403,"july_orig"
