word,section_index
ao,-1
clive,-1
potato,-1
transit,-1
unseen,-1
wayward,-1
maternal,-1
standsit,-1
athens,-1
illicit,-1
satellite,-1
growls,-1
savage,-1
intense,-1
aloholic,-1
tall],-1
funner,-1
backpacks,-1
u,-1
analyze,-1
relaxi,-1
automated,-1
timetogether,-1
latinx,-1
lebron,-1
disrupt,-1
surveys,-1
currently,-1
sold,-1
duster,-1
endoscopy,-1
tungsten,-1
leafy,-1
bracelety,-1
shut,6
grandma,-1
boytoy,-1
specialists,-1
crocodile,-1
poerion,-1
disbelief,-1
titty,-1
joist,-1
untrustworthy,-1
calm,-1
ticking,-1
combact,-1
freezewr,-1
deceipt,-1
everquest,-1
mountain,-1
dormitory,-1
fidel,-1
tollgate,-1
dickhole,-1
burgandy,-1
scrumptious,-1
omens,-1
vangogh,-1
rotund,-1
dragonflies,-1
madame web,-1
area,-1
correctional,-1
shein,-1
allegiance,-1
wher,-1
freddy,-1
enamored,-1
tariff,-1
macaque,-1
pocj,-1
peep,-1
leo,-1
meauring,-1
transactions,-1
antibiotic,-1
smithsonian,-1
wingback,-1
overeating,-1
holidays,-1
gab,-1
abbreviation,-1
iceland,-1
abyssal,-1
snowsuit,-1
jester,-1
icey,-1
bothersome,-1
flaf,-1
languages,-1
baddies,-1
chain,-1
phenomenol,-1
arnold,-1
unusual,-1
briefcase,-1
weatherfire,-1
aesop,-1
wrecked,-1
federation,-1
grid,-1
fears,-1
brevilage,-1
bestfriend,-1
stitch,-1
cedar,-1
smuggling,-1
asstray,-1
wink,-1
watkins,-1
pleasesaythewordthatbeingswiththeletterbsuchasbrandonandifyouneedtorepeattheinstructionsicansayitforyouandthatyouneedalotofstuffinordertostaystrongandtruthfulthroughoutrollingthroughtheweedhopingyourekickingmeinthelgs,-1
tangerine,-1
qeue,-1
tajin,-1
rom com,-1
albums,-1
wands,-1
squeak,-1
moccasin,-1
tapedeck,-1
migh,-1
journalism,-1
wipes,0
playing!,-1
reciting,-1
indubitably,-1
wip,-1
somethng,-1
document,-1
crockpot,-1
monkey,-1
appetizers,-1
china,-1
sinner,-1
repeats,-1
bogus,-1
employer,-1
croutons,-1
adjudication,-1
slug,-1
copy,-1
audible,-1
fender,-1
navel,-1
retainer,-1
tanle,-1
atkins,-1
popcicle,-1
guise,-1
protestors,-1
compressor,-1
smudge,-1
hemorrhoids,-1
membership,-1
assist,-1
guesswork,-1
loathing,-1
synch,-1
postpone,-1
treachery,-1
gryphon,-1
basted,-1
fulfilment,-1
littel,-1
jungle,-1
modulation,-1
ipman,-1
stupor,-1
afdfair,-1
ratchet,-1
exellence,-1
gangs,-1
possess,-1
goal,-1
aquifer,-1
syndicalism,-1
neighbor,-1
gyp,-1
bribes,-1
richard,-1
secretive,-1
tracking,-1
appalachian,-1
finishing,-1
tut,-1
cowl,-1
jobn,-1
session,-1
perk,-1
brass,-1
thriving,-1
clearance,-1
microcureent,-1
brane,-1
scarab,-1
belted,-1
fax,-1
tinkle,-1
saviour,-1
porcupine,-1
waiter,-1
edison,-1
mastercard,-1
grace,-1
shania,-1
mughul,-1
seltzer,-1
lewis,-1
firebird,-1
showers,-1
sopa,-1
horrible,-1
bugslife,-1
hostility,-1
coniferous,-1
lorry,-1
ouch,-1
persnickety,-1
seedy,-1
bunch,-1
effe,-1
ardvark,-1
sleepyrandom,-1
over,7
biting,-1
talking,3
gratitud,-1
sleds,-1
needle,-1
highschool,-1
bunnyrabbit,-1
porter,-1
popit,-1
disinterested,-1
trauma,-1
begininng,-1
smelt,-1
practicing,-1
emt,-1
pennies,-1
apartheid,-1
sail,-1
ricky,-1
amell,-1
offer,-1
shoving,-1
machinesewingshirt,-1
susana,-1
mpo,-1
cellar,-1
bub,-1
dwarf,-1
thinkpad,-1
bleach,-1
maypole,-1
houndred,-1
statusquo,-1
scrimps,-1
format,-1
automaton,-1
issaquah,-1
lad,-1
hooks,-1
loam,-1
fulfilmentation,-1
silence,-1
indulge,-1
teaching,-1
merlot,-1
encounter,-1
tilting,-1
kimono,-1
ditto,-1
smoothy,-1
narches,-1
neilson,-1
cul-de-sac,-1
marmite,-1
proposal,-1
bergen,-1
bern,-1
fibs,-1
accordion,-1
nineteenth,-1
rite,-1
strepp,-1
sweaters,-1
purpouse,-1
tomatoi,-1
guess,-1
brittany,-1
starch,-1
evade,-1
spades,-1
blamed,-1
eating out,-1
ava,-1
game,-1
polo,-1
whiteboard,-1
baywatch,-1
woodcanal,-1
faint,-1
sag,-1
archer,-1
cuss,-1
nigel,-1
medalion,-1
chas,-1
zinc,-1
argon,-1
chocice,-1
touchdown,-1
hamburger,-1
hatefategaterategratedatematekatebaitcratewait,-1
ordinary,-1
workers,-1
expnasion,-1
habit,-1
whate,-1
wandered,-1
bond,-1
niche,-1
pleading,-1
scraps,-1
snowball,-1
morty,-1
malaria,-1
lag,-1
classics,-1
annoying,-1
debt,-1
burglars,-1
pantherwhale,-1
wesnow,-1
solo,-1
peacock,-1
booker,-1
fisher,-1
colorimeter,-1
invented,-1
jumpy,-1
sun cream,-1
unfriendly,-1
perlite,-1
penpencileraser,-1
element,-1
bead,-1
lurking,-1
hubvris,-1
bullett,-1
percussion,-1
demented,-1
mileage,-1
stalagtite,-1
earch,-1
007\\,-1
smoothie,-1
dressed,-1
flail,-1
burnett,-1
greenery,-1
candy cane,-1
dcotor,-1
crutch,-1
millionaires,-1
dabble,-1
glabber,-1
hillarious,-1
maestro,-1
routine,-1
pins,-1
datsun,-1
safeturn,-1
posture,-1
feedstore,-1
slings,-1
youngest,-1
nada,-1
autoimmune,-1
fireman,-1
prescription,-1
dismmable,-1
harassment,-1
adored,-1
anonymus,-1
hegemony,-1
germany,-1
lable,-1
zo,-1
spleen,-1
idiots,-1
equator,-1
taboo,-1
mama,-1
loveable,-1
waterboard,-1
toroid,-1
mixer,-1
commas,-1
gagged,-1
splayed,-1
