word,section_index
unadultered,-1
appear,-1
veil,-1
nebula,-1
disturbance,-1
trudge,-1
baptist,-1
terrorism,-1
flowe,-1
receptionist,-1
motorized,-1
thrifting,-1
variously,-1
dabble,-1
darlene,-1
caterer,-1
beetle,-1
dwaf,-1
phoney,-1
qiet,-1
wanderlust,-1
toned,-1
exfoliant,-1
borrow,-1
uninterupted,-1
sustenance,-1
manufacturing,-1
housing,-1
100meter,-1
mog,-1
newt,-1
dsitrust,-1
crank,-1
icebox,-1
malcolm,-1
positionality,-1
paintsleep,-1
cages,-1
doves,-1
startle,-1
christman,-1
new years,-1
helper,-1
hatchlings,-1
checking,-1
looping,-1
hags,-1
plunge,-1
analyze,-1
outlier,-1
horizon,-1
blond,-1
knat,-1
steer,-1
reciver,-1
trivia,-1
embed,-1
peatcoat,-1
balance,-1
spiv,-1
grenadine,-1
sawmill,-1
look,7
mean,6
costume,-1
gassy,-1
covid19,-1
marten,-1
jornal,-1
eccymosis,-1
deteriorate,-1
exposure,-1
inquiries,-1
horrified,-1
carter,-1
ono,-1
political,-1
hyundai,-1
peircing,-1
philly,-1
rooney,-1
leeds,-1
curve,-1
liquour store,-1
nunchuck,-1
netlfix,-1
plaace,-1
garagedoor,-1
brother,-1
wail,-1
individuality,-1
sham,-1
bans,-1
mary,-1
lanyard,-1
itrl,-1
grandcaymen,-1
tomb,-1
poke,-1
democrats,-1
combo,-1
oblige,-1
carousel,-1
seranade,-1
mentally,-1
modelo,-1
paltry,-1
cirru,-1
downside,-1
micronutrients,-1
mindhunter,-1
splunge,-1
weep,-1
seer,-1
tester,-1
tactics,-1
horrendous,-1
vulnurable,-1
threads,-1
brainsurgeon,-1
motorola,-1
dz,-1
lender,-1
caramel,-1
disconfigure,-1
gauntlet,-1
excite,-1
swedishfish,-1
pomp,-1
krebs,-1
gripping,-1
poultry,-1
thrunder,-1
belittle,-1
huzzah,-1
captures,-1
youngster,-1
hypothesize,-1
vertigo,-1
forearm,-1
moul,-1
cabble,-1
ummm,-1
flucuations,-1
ammonia,-1
weib,-1
witness,-1
triathletics,-1
outrage,-1
pollhoppertrustgolf,-1
carburetor,-1
sign language,-1
protection,-1
subsitute,-1
righteous,-1
stepmother,-1
now,10
teleoperator,-1
fakenews,-1
radcio,-1
iceage,-1
ringingbells,-1
dazzle,-1
goldenknights,-1
captivating,-1
nickels,-1
flung,-1
familytime,-1
tymphany,-1
brak,-1
packages,-1
toolkit,-1
knickknack,-1
furnitures,-1
normandy,-1
rhaenyra,-1
amniotic,-1
cold plunge,-1
amylopectin,-1
horseshoe,-1
kniy,-1
pequin,-1
prise,-1
welding,-1
fumbled,-1
ramp,-1
demo,-1
tolerance,-1
left,9
significance,-1
axle,-1
desolute,-1
dragging,-1
gloomy,-1
penne,-1
huberman,-1
lable,-1
fidge,-1
wizard,-1
needlepoint,-1
see-through,-1
sleigh,-1
scales,-1
remotecontrol,-1
swimmingpool,-1
weenie,-1
statusquo,-1
seep,-1
arranged,-1
badge,-1
crocs,-1
remoteness,-1
peoples,-1
perrinial,-1
goned,-1
fromt,-1
prosecute,-1
mustang,-1
wwe,-1
micra,-1
ressurrect,-1
pennywise,-1
remix,-1
chocolatemilk,-1
aspect,-1
walkride,-1
kilm,-1
pewter,-1
ringing,-1
mear,-1
hanf,-1
chemicals,-1
revile,-1
earlobe,-1
foral,-1
clown,-1
barrier,-1
ewooooo,-1
ridicoulus,-1
verbs,-1
apothic,-1
talkking,-1
match,-1
heffer,-1
elated,-1
pineapples,-1
dignose,-1
visibility,-1
cookig,-1
hac,-1
byte,-1
offender,-1
tiktok,-1
bck,-1
lash,-1
unfact,-1
xbox,-1
lung,9
retarded,-1
rover,-1
reprise,-1
busily,-1
hispanic,-1
newthings,-1
lastminute,-1
tvstand,-1
bert,-1
roadkill,-1
globalist,-1
foreshadowing,-1
tracklist,-1
cosmic,-1
auburn,-1
goosebumps,-1
widereciever,-1
aspd,-1
punish,-1
housekay,-1
miniture,-1
twirls,-1
henry,-1
donny,-1
catchup,-1
bankaccount,-1
smaller,-1
gave,9
doctors,-1
housewives,-1
amplify,-1
backsplash,-1
adjoin,-1
soi;,-1
irrigation,-1
towtruck,-1
datasubjectaccessrequest,-1
operated,-1
cinnamonbrownsugar,-1
cheetahs,-1
specialist,-1
colgate,-1
monterey,-1
crumb,-1
strawbery,-1
zygote,-1
deadbody,-1
created,-1
false,-1
rehearsal,-1
rayman,-1
nourish,-1
garnet,-1
parlour,-1
venusian,-1
believes,-1
horcrux,-1
blinking,-1
2024,-1
voters,-1
belwo,-1
hysterical,-1
shooter,-1
violins,-1
