word,section_index
unadultered,-1.0
appear,-1.0
veil,-1.0
nebula,-1.0
disturbance,-1.0
trudge,-1.0
baptist,-1.0
terrorism,-1.0
flowe,-1.0
receptionist,-1.0
motorized,-1.0
thrifting,-1.0
variously,-1.0
dabble,-1.0
darlene,-1.0
caterer,-1.0
beetle,-1.0
dwaf,-1.0
phoney,-1.0
qiet,-1.0
wanderlust,-1.0
toned,-1.0
exfoliant,-1.0
borrow,-1.0
uninterupted,-1.0
sustenance,-1.0
manufacturing,-1.0
housing,-1.0
100meter,-1.0
mog,-1.0
newt,-1.0
dsitrust,-1.0
crank,-1.0
icebox,-1.0
malcolm,-1.0
positionality,-1.0
paintsleep,-1.0
cages,-1.0
doves,-1.0
startle,-1.0
christman,-1.0
new years,-1.0
helper,-1.0
hatchlings,-1.0
checking,-1.0
looping,-1.0
hags,-1.0
plunge,-1.0
analyze,-1.0
outlier,-1.0
horizon,-1.0
blond,-1.0
knat,-1.0
steer,-1.0
reciver,-1.0
trivia,-1.0
embed,-1.0
peatcoat,-1.0
balance,-1.0
spiv,-1.0
grenadine,-1.0
sawmill,-1.0
look,3.5
mean,4.5
costume,-1.0
gassy,-1.0
covid19,-1.0
marten,-1.0
jornal,-1.0
eccymosis,-1.0
deteriorate,-1.0
exposure,-1.0
inquiries,-1.0
horrified,-1.0
carter,-1.0
ono,-1.0
political,-1.0
hyundai,-1.0
peircing,-1.0
philly,-1.0
rooney,-1.0
leeds,-1.0
curve,-1.0
liquour store,-1.0
nunchuck,-1.0
netlfix,-1.0
plaace,-1.0
garagedoor,-1.0
brother,-1.0
wail,-1.0
individuality,-1.0
sham,-1.0
bans,-1.0
mary,-1.0
lanyard,-1.0
itrl,-1.0
grandcaymen,-1.0
tomb,-1.0
poke,-1.0
democrats,-1.0
combo,-1.0
oblige,-1.0
carousel,-1.0
seranade,-1.0
mentally,-1.0
modelo,-1.0
paltry,-1.0
cirru,-1.0
downside,-1.0
micronutrients,-1.0
mindhunter,-1.0
splunge,-1.0
weep,-1.0
seer,-1.0
tester,-1.0
tactics,-1.0
horrendous,-1.0
vulnurable,-1.0
threads,-1.0
brainsurgeon,-1.0
motorola,-1.0
dz,-1.0
lender,-1.0
caramel,-1.0
disconfigure,-1.0
gauntlet,-1.0
excite,-1.0
swedishfish,-1.0
pomp,-1.0
krebs,-1.0
gripping,-1.0
poultry,-1.0
thrunder,-1.0
belittle,-1.0
huzzah,-1.0
captures,-1.0
youngster,-1.0
hypothesize,-1.0
vertigo,-1.0
forearm,-1.0
moul,-1.0
cabble,-1.0
ummm,-1.0
flucuations,-1.0
ammonia,-1.0
weib,-1.0
witness,-1.0
triathletics,-1.0
outrage,-1.0
pollhoppertrustgolf,-1.0
carburetor,-1.0
sign language,-1.0
protection,-1.0
subsitute,-1.0
righteous,-1.0
stepmother,-1.0
now,4.166666666666667
teleoperator,-1.0
fakenews,-1.0
radcio,-1.0
iceage,-1.0
ringingbells,-1.0
dazzle,-1.0
goldenknights,-1.0
captivating,-1.0
nickels,-1.0
flung,-1.0
familytime,-1.0
tymphany,-1.0
brak,-1.0
packages,-1.0
toolkit,-1.0
knickknack,-1.0
furnitures,-1.0
normandy,-1.0
rhaenyra,-1.0
amniotic,-1.0
cold plunge,-1.0
amylopectin,-1.0
horseshoe,-1.0
kniy,-1.0
pequin,-1.0
prise,-1.0
welding,-1.0
fumbled,-1.0
ramp,-1.0
demo,-1.0
tolerance,-1.0
left,8.0
significance,-1.0
axle,-1.0
desolute,-1.0
dragging,-1.0
gloomy,-1.0
penne,-1.0
huberman,-1.0
lable,-1.0
fidge,-1.0
wizard,-1.0
needlepoint,-1.0
see-through,-1.0
sleigh,-1.0
scales,-1.0
remotecontrol,-1.0
swimmingpool,-1.0
weenie,-1.0
statusquo,-1.0
seep,-1.0
arranged,-1.0
badge,-1.0
crocs,-1.0
remoteness,-1.0
peoples,-1.0
perrinial,-1.0
goned,-1.0
fromt,-1.0
prosecute,-1.0
mustang,-1.0
wwe,-1.0
micra,-1.0
ressurrect,-1.0
pennywise,-1.0
remix,-1.0
chocolatemilk,-1.0
aspect,-1.0
walkride,-1.0
kilm,-1.0
pewter,-1.0
ringing,-1.0
mear,-1.0
hanf,-1.0
chemicals,-1.0
revile,-1.0
earlobe,-1.0
foral,-1.0
clown,-1.0
barrier,-1.0
ewooooo,-1.0
ridicoulus,-1.0
verbs,-1.0
apothic,-1.0
talkking,-1.0
match,-1.0
heffer,-1.0
elated,-1.0
pineapples,-1.0
dignose,-1.0
visibility,-1.0
cookig,-1.0
hac,-1.0
byte,-1.0
offender,-1.0
tiktok,-1.0
bck,-1.0
lash,-1.0
unfact,-1.0
xbox,-1.0
lung,9.0
retarded,-1.0
rover,-1.0
reprise,-1.0
busily,-1.0
hispanic,-1.0
newthings,-1.0
lastminute,-1.0
tvstand,-1.0
bert,-1.0
roadkill,-1.0
globalist,-1.0
foreshadowing,-1.0
tracklist,-1.0
cosmic,-1.0
auburn,-1.0
goosebumps,-1.0
widereciever,-1.0
aspd,-1.0
punish,-1.0
housekay,-1.0
miniture,-1.0
twirls,-1.0
henry,-1.0
donny,-1.0
catchup,-1.0
bankaccount,-1.0
smaller,-1.0
gave,9.0
doctors,-1.0
housewives,-1.0
amplify,-1.0
backsplash,-1.0
adjoin,-1.0
soi;,-1.0
irrigation,-1.0
towtruck,-1.0
datasubjectaccessrequest,-1.0
operated,-1.0
cinnamonbrownsugar,-1.0
cheetahs,-1.0
specialist,-1.0
colgate,-1.0
monterey,-1.0
crumb,-1.0
strawbery,-1.0
zygote,-1.0
