,1,2,3,4,5,6,7,8,9,10,11
notes,0,0,0,0,0,3,2,0,2,0,4
salute,0,0,0,0,0,0,0,0,0,0,0
scum,0,1,0,0,0,0,0,0,0,0,0
woof,0,0,0,1,0,0,0,0,0,0,0
cheating,0,3,0,0,1,0,0,0,0,1,0
whine,0,0,0,0,0,0,0,0,0,0,0
jewel,0,0,0,0,0,0,0,0,0,0,3
worse,0,0,0,0,0,0,0,0,0,0,0
quaint,0,0,0,0,0,0,0,0,0,0,0
downsit,0,0,0,0,0,0,0,0,0,0,0
chocolatte,0,0,0,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0,0,0,0
lush,0,0,0,0,0,0,0,0,0,0,0
kiln,0,0,0,0,0,0,0,0,0,0,0
contest,0,0,0,0,0,0,0,0,0,0,0
scent,0,0,2,4,1,0,0,0,0,0,0
frontdesk,0,0,0,0,0,0,2,4,0,0,0
yea,0,1,0,0,0,0,0,0,0,0,0
aerodynamics,2,0,0,0,0,1,1,1,0,0,0
algorhytthm,0,0,0,0,0,0,0,0,0,0,0
glue,0,0,0,0,0,0,0,0,0,0,0
especial,0,0,0,0,0,0,0,0,0,0,0
elect,0,0,0,0,0,0,0,0,0,0,0
min,0,0,0,0,0,0,0,0,0,0,0
lent,0,0,0,0,0,0,0,0,0,0,0
hips,0,0,1,1,0,0,0,0,0,0,0
soiree,0,0,0,0,0,0,0,0,0,0,0
bones,2,0,0,0,0,0,0,0,0,0,0
survivor,0,0,0,0,0,0,0,0,1,0,0
pg13,0,0,0,0,0,0,0,0,0,0,0
vacation,1,0,0,0,2,0,0,0,0,0,0
garden,0,0,0,0,0,0,0,0,0,0,0
bathroom,0,0,4,0,0,0,0,1,0,0,0
illogical,2,0,0,0,0,0,1,0,3,0,1
sanders,0,0,0,0,0,0,0,0,0,0,0
flooring,0,0,0,0,0,0,0,0,2,0,0
swelter,0,0,0,0,1,0,0,0,0,0,0
nascar,0,0,0,0,0,0,0,0,0,0,0
meeting,2,2,0,0,0,0,0,1,0,0,0
decisions,2,0,0,0,0,0,0,0,3,0,0
paint,0,0,0,0,2,0,0,0,2,0,2
vein,0,0,0,0,0,0,0,0,0,0,0
frogs,0,0,0,0,0,0,0,0,0,0,0
peal,0,0,0,1,0,0,0,0,0,0,0
judiciary,0,0,0,0,0,0,0,0,0,0,0
signal,2,3,0,3,0,4,3,4,2,3,3
tire,0,0,0,0,0,0,0,0,0,0,0
actually,3,0,0,0,0,0,0,0,0,0,0
noun,0,0,0,0,0,0,0,0,0,0,0
sinister,2,0,0,0,0,2,0,3,0,0,0
amazin,0,0,0,0,0,3,0,0,0,0,0
sink,0,0,4,0,0,0,0,0,0,0,0
without,0,0,0,0,0,2,0,0,0,0,0
station,0,0,0,0,0,0,0,1,0,0,2
greetings,0,0,0,0,0,2,0,0,0,0,0
elysian,0,2,0,0,1,0,1,0,0,0,0
chemotherapy,0,0,0,0,0,0,0,0,0,2,0
thrunder,0,0,0,0,0,0,0,0,0,0,0
swords,0,0,0,0,0,0,0,0,0,1,0
sartre,0,0,0,0,0,0,0,0,2,0,0
practice,2,0,0,0,0,0,0,0,0,0,0
lady,2,2,0,0,0,0,0,2,0,0,0
damage,0,0,0,0,0,0,0,0,1,0,1
nosegay,0,0,0,0,0,0,0,0,0,0,3
clea,0,0,0,0,0,0,0,0,0,0,0
wandering,0,0,0,0,0,0,0,2,1,0,0
pail,0,0,0,0,0,0,0,0,0,0,0
bonfire,0,0,0,0,0,0,0,0,0,0,0
arena,0,1,0,0,0,0,0,2,0,0,0
malcontent,0,0,0,0,2,0,0,0,2,0,0
will,0,0,0,0,0,0,2,0,1,0,0
performance,0,2,0,2,0,0,0,3,0,0,2
biometric,0,0,0,0,0,0,0,0,0,0,0
anteater,0,0,0,0,0,0,0,0,0,0,0
lightsabre,0,0,0,0,0,0,0,0,0,0,0
ladybugs,0,0,0,0,1,0,0,0,0,0,0
down,0,0,0,0,0,2,0,0,0,0,0
estate,0,0,0,0,1,0,0,0,0,0,1
organ,0,0,0,0,0,0,0,0,0,0,0
resiliance,0,0,0,0,0,0,0,0,1,2,1
toddler,2,0,0,0,0,1,0,1,0,0,2
toothache,0,0,0,0,0,0,0,0,0,0,0
extinguisher,0,0,0,0,0,0,0,0,0,0,0
cannibalism,0,0,0,2,0,0,0,0,0,0,0
lasagna,0,0,0,0,0,0,0,0,1,0,0
crocodile,0,0,0,0,0,0,0,0,0,0,0
bree,0,0,0,0,0,0,0,0,0,0,0
such,2,0,2,1,0,0,0,0,0,0,0
overdue,0,0,0,0,0,0,0,0,1,0,1
igh,0,0,0,0,0,0,0,0,0,0,0
nigh,1,1,0,0,0,0,0,0,1,0,1
would,2,0,0,0,0,0,2,0,2,0,0
sweets,0,0,0,0,0,0,0,0,0,0,0
searching,0,0,0,0,1,0,0,3,3,0,2
sauce,0,0,0,0,0,0,0,0,0,0,0
carnie,0,0,0,0,0,0,0,0,0,0,0
create,0,0,0,0,2,0,0,0,1,0,0
echoe,0,1,0,0,0,0,0,0,1,2,0
dart,0,0,0,0,0,0,0,0,0,0,0
suburbian,0,0,0,0,0,0,0,0,0,0,0
cemented,0,0,0,0,0,0,0,0,0,0,0
fairytales,2,2,0,0,3,0,2,0,2,0,1
moushe,0,0,0,0,0,0,0,0,0,0,0
unilever,0,0,0,0,0,0,0,0,0,0,0
authority,2,0,0,0,0,0,0,2,0,0,2
crossword,0,0,0,0,0,0,0,0,0,0,0
play,4,0,0,2,0,0,0,3,0,0,3
galazy,0,0,0,0,0,0,0,0,0,0,0
analysis,0,0,0,0,2,0,0,0,2,0,2
flew,3,3,2,2,2,3,3,2,0,0,0
awkward,0,0,3,3,0,0,0,2,1,0,0
an,0,0,0,0,0,0,0,0,0,0,0
raphael,0,0,0,0,0,0,0,0,0,0,0
schools,0,0,0,0,0,0,0,0,0,0,0
recline,0,0,0,0,0,2,0,0,0,0,0
peculiar,0,0,0,2,0,0,0,2,0,0,0
palms,0,0,0,0,0,3,3,0,0,0,0
ldr,0,0,0,0,0,0,0,0,0,0,0
office,0,0,0,0,0,0,0,0,0,0,0
planing,0,0,0,0,0,0,0,0,0,0,0
glittering,2,0,0,0,0,0,0,0,0,0,0
blanch,0,0,0,0,0,0,0,0,0,0,0
adult,0,0,0,0,2,0,0,0,2,2,0
reality,2,0,0,0,3,0,0,3,3,0,3
bound,0,0,0,0,0,0,0,0,0,0,0
solitary,0,0,0,0,0,0,0,0,2,0,0
blin,0,0,0,0,0,0,0,0,0,0,0
license,0,0,0,0,0,0,0,0,0,0,0
tools,0,0,0,0,2,0,0,0,0,0,0
appearance,2,0,3,0,0,0,0,2,0,0,0
tvs,0,0,0,0,0,0,0,0,0,0,3
pacific,0,0,0,0,0,0,0,0,0,0,0
caf,0,0,0,0,0,0,0,0,0,0,0
widened,0,1,0,1,0,0,0,0,0,0,0
tolerant,0,0,0,0,0,0,0,0,0,0,0
app,0,0,0,0,0,0,0,0,0,0,0
axe,0,0,0,0,0,0,0,0,0,0,0
tunnel,0,0,0,0,0,0,0,3,0,0,0
batman,0,0,0,0,0,0,0,0,0,0,0
duck,0,0,0,0,0,0,0,0,0,0,0
clothed,0,0,3,3,0,0,0,0,0,0,0
beats,0,0,0,0,0,0,0,0,0,0,2
trout,0,0,0,0,0,0,0,0,0,0,0
pin,0,0,0,0,0,0,0,0,0,0,0
rock,0,0,0,0,2,0,0,0,0,0,0
bomb,0,0,0,0,0,0,0,0,0,0,0
building,0,0,0,0,3,0,0,0,0,0,0
spoon,0,0,0,0,0,0,0,0,0,0,0
cocoon,0,0,0,0,0,0,0,0,0,0,0
ports,0,0,0,0,0,1,0,2,0,0,0
cvalifornia,0,0,0,0,0,0,0,0,0,0,0
trounce,0,0,0,0,0,0,0,0,0,0,0
their,1,1,1,1,0,0,0,0,0,0,0
dietary,0,3,0,0,0,0,0,0,0,0,0
justin,0,0,0,0,0,0,0,0,0,0,0
bail,0,0,0,0,0,0,0,0,0,0,0
whale,0,0,0,0,0,0,0,0,0,0,0
peppers,0,0,0,0,0,0,0,0,0,0,0
urine,0,0,0,0,0,0,0,0,0,0,0
engine\\,1,1,0,0,0,1,0,1,0,0,0
gps,0,0,0,0,0,0,0,0,0,0,0
audit,0,0,0,0,0,0,0,0,0,0,0
fink,0,0,0,0,0,0,0,0,0,0,0
trunk,0,0,0,0,0,0,1,0,0,0,1
assisted,0,0,0,0,0,0,0,0,0,0,0
celebs,4,3,0,3,1,0,0,3,0,0,3
jargon,0,2,0,1,0,0,1,2,0,0,0
news,0,2,0,0,0,0,0,2,0,0,0
hoe,0,0,0,0,0,0,0,0,0,0,0
disclosure,0,0,0,0,0,0,0,0,0,0,1
waving,0,0,0,0,0,0,0,0,0,0,0
pitcher,0,0,0,0,0,0,0,0,0,0,0
supergirl,0,0,0,0,0,0,0,0,0,0,0
band,0,0,0,0,0,0,0,0,0,0,0
candles,0,0,0,0,0,0,0,0,0,0,0
adventures,0,1,0,0,0,0,0,0,0,0,0
glutton,0,1,0,0,0,0,0,0,0,0,0
glock,0,0,0,0,0,0,0,0,0,0,0
miffed,0,0,0,0,0,0,0,2,0,0,0
hustpapuppies,0,0,0,0,0,0,0,0,0,0,0
mass,0,0,0,0,0,0,0,1,0,0,0
beware,0,0,0,0,0,0,0,0,0,0,0
dean,0,0,0,0,0,0,0,0,0,0,0
union,0,0,0,0,0,0,0,0,0,0,0
